,LOAN IDENTIFIER,ORIGINATION CHANNEL,SELLER NAME,ORIGINAL INTEREST RATE,ORIGINAL UPB,ORIGINAL LOAN TERM,ORIGINATION DATE,FIRST PAYMENT DATE,ORIGINAL LOAN-TO-VALUE (LTV),ORIGINAL COMBINED LOAN-TO-VALUE (CLTV),NUMBER OF BORROWERS,ORIGINAL DEBT TO INCOME RATIO,BORROWER CREDIT SCORE AT ORIGINATION,FIRST TIME HOME BUYER INDICATOR,LOAN PURPOSE,PROPERTY TYPE,NUMBER OF UNITS,OCCUPANCY TYPE,PROPERTY STATE,ZIP CODE SHORT,PRIMARY MORTGAGE INSURANCE PERCENT,PRODUCT TYPE,CO-BORROWER CREDIT SCORE AT ORIGINATION,MORTGAGE INSURANCE TYPE,RELOCATION MORTGAGE INDICATOR,LOAN_COUNT,VINTAGE_YEAR,VINTAGE_MONTH,LTV_BUCKET,UPB_BUCKET,FICO_BUCKET,TERM_BUCKET,INT_RT_BUCKET
58,100151240812,R,GUILD MORTGAGE COMPANY,4.25,134000,360,05/2017,07/2017,80,80,2,36,753.0,N,P,PU,1,S,NV,891,,FRM,787.0,,N,1,2017,5,80,100000,750.0,360,4.25
59,100152306591,C,"WELLS FARGO BANK, N.A.",4.5,298000,360,04/2017,06/2017,80,80,1,22,807.0,N,P,SF,1,P,FL,328,,FRM,,,N,1,2017,4,80,250000,800.0,360,4.5
60,100154096385,C,"WELLS FARGO BANK, N.A.",4.5,203000,360,03/2017,05/2017,70,70,1,41,684.0,N,P,SF,2,P,TX,752,,FRM,,,N,1,2017,3,70,200000,650.0,360,4.5
61,100154251927,C,DITECH FINANCIAL LLC,4.25,420000,360,03/2017,05/2017,95,95,1,43,811.0,N,P,PU,1,P,CO,815,30.0,FRM,,1.0,N,1,2017,3,90,400000,800.0,360,4.25
62,100157726571,B,QUICKEN LOANS INC.,4.125,349000,360,05/2017,07/2017,97,97,1,44,761.0,Y,P,SF,1,P,CA,908,35.0,FRM,,2.0,N,1,2017,5,90,300000,750.0,360,4.125
63,100161365815,C,PENNYMAC CORP.,3.875,146000,180,03/2017,05/2017,48,48,1,40,783.0,N,C,CO,1,P,AZ,852,,FRM,,,N,1,2017,3,40,100000,750.0,180,3.875
64,100163185387,R,U.S. BANK N.A.,4.0,214000,360,05/2017,07/2017,80,80,2,23,800.0,N,P,SF,1,P,TN,373,,FRM,770.0,,N,1,2017,5,80,200000,800.0,360,4.0
65,100163601761,R,OTHER,4.875,400000,360,03/2017,05/2017,79,79,1,42,686.0,Y,P,PU,1,P,GA,300,,FRM,,,N,1,2017,3,70,400000,650.0,360,4.875
66,100165850780,C,PMTT4,4.125,289000,360,05/2017,07/2017,85,85,1,42,738.0,Y,P,SF,1,P,TX,752,12.0,FRM,,1.0,N,1,2017,5,80,250000,700.0,360,4.125
67,100168592484,C,SUNTRUST BANK,3.875,274000,360,04/2017,06/2017,75,75,1,23,816.0,N,P,PU,1,P,MD,208,,FRM,,,N,1,2017,4,70,250000,800.0,360,3.875
